# Professional Racing Circuit
# 200x200cm area, smooth curves
# Counter-clockwise direction

# Start/Finish Straight (bottom)
15,45
25,45
35,45
45,45
55,45
65,45
75,45
85,45
95,45
105,45

# Turn 1 Entry
112,45
118,46
124,48
129,51
134,55

# Turn 1 Apex
138,60
142,66
145,73
147,80
148,88

# Short Straight 1
148,95
148,102
148,109
148,116

# Turn 2 Entry
148,122
147,128
145,134
142,140
138,145

# Turn 2 Apex
133,149
127,152
121,154
115,155
109,156

# Back Straight
102,156
95,156
88,156
81,156
74,156
67,156
60,156
53,156

# Turn 3 Entry
46,156
40,155
35,153
30,150
26,146

# Turn 3 Apex
23,141
21,135
20,129
19,123
18,117

# Short Straight 2
18,110
18,103
18,96
18,89

# Turn 4 Entry
18,82
19,76
21,70
24,65
28,60

# Turn 4 Apex
32,56
37,52
42,49
47,47
52,46

# Final approach to Start/Finish
15,45
